,Index,Time Stamp
440,84500,2021-02-11 00:18:37.860
441,84501,2021-02-11 00:18:37.870
442,84502,2021-02-11 00:18:37.880
443,84503,2021-02-11 00:18:37.890
444,84504,2021-02-11 00:18:37.900
445,84505,2021-02-11 00:18:37.910
446,84506,2021-02-11 00:18:37.920
447,84507,2021-02-11 00:18:37.930
448,84508,2021-02-11 00:18:37.940
449,84509,2021-02-11 00:18:37.950
450,84510,2021-02-11 00:18:37.960
451,84511,2021-02-11 00:18:37.970
452,84512,2021-02-11 00:18:37.980
453,84513,2021-02-11 00:18:37.990
454,84514,2021-02-11 00:18:38.000
455,84515,2021-02-11 00:18:38.010
456,84516,2021-02-11 00:18:38.020
457,84517,2021-02-11 00:18:38.030
458,84518,2021-02-11 00:18:38.040
459,84519,2021-02-11 00:18:38.050
460,84620,2021-02-11 00:18:39.060
461,84621,2021-02-11 00:18:39.070
462,84622,2021-02-11 00:18:39.080
463,84623,2021-02-11 00:18:39.090
464,84624,2021-02-11 00:18:39.100
465,84625,2021-02-11 00:18:39.110
466,84626,2021-02-11 00:18:39.120
467,84627,2021-02-11 00:18:39.130
468,84628,2021-02-11 00:18:39.140
469,84629,2021-02-11 00:18:39.150
470,84630,2021-02-11 00:18:39.160
471,84631,2021-02-11 00:18:39.170
472,84632,2021-02-11 00:18:39.180
473,84633,2021-02-11 00:18:39.190
474,84634,2021-02-11 00:18:39.200
475,84635,2021-02-11 00:18:39.210
476,84636,2021-02-11 00:18:39.220
477,84637,2021-02-11 00:18:39.230
478,84638,2021-02-11 00:18:39.240
479,84639,2021-02-11 00:18:39.250
480,84820,2021-02-11 00:18:41.060
481,84821,2021-02-11 00:18:41.070
482,84822,2021-02-11 00:18:41.080
483,84823,2021-02-11 00:18:41.090
484,84824,2021-02-11 00:18:41.100
485,84825,2021-02-11 00:18:41.110
486,84826,2021-02-11 00:18:41.120
487,84827,2021-02-11 00:18:41.130
488,84828,2021-02-11 00:18:41.140
489,84829,2021-02-11 00:18:41.150
490,84830,2021-02-11 00:18:41.160
491,84831,2021-02-11 00:18:41.170
492,84832,2021-02-11 00:18:41.180
493,84833,2021-02-11 00:18:41.190
494,84834,2021-02-11 00:18:41.200
495,84835,2021-02-11 00:18:41.210
496,84836,2021-02-11 00:18:41.220
497,84837,2021-02-11 00:18:41.230
498,84838,2021-02-11 00:18:41.240
499,84839,2021-02-11 00:18:41.250
500,84900,2021-02-11 00:18:41.860
501,84901,2021-02-11 00:18:41.870
502,84902,2021-02-11 00:18:41.880
503,84903,2021-02-11 00:18:41.890
504,84904,2021-02-11 00:18:41.900
505,84905,2021-02-11 00:18:41.910
506,84906,2021-02-11 00:18:41.920
507,84907,2021-02-11 00:18:41.930
508,84908,2021-02-11 00:18:41.940
509,84909,2021-02-11 00:18:41.950
510,84910,2021-02-11 00:18:41.960
511,84911,2021-02-11 00:18:41.970
512,84912,2021-02-11 00:18:41.980
513,84913,2021-02-11 00:18:41.990
514,84914,2021-02-11 00:18:42.000
515,84915,2021-02-11 00:18:42.010
516,84916,2021-02-11 00:18:42.020
517,84917,2021-02-11 00:18:42.030
518,84918,2021-02-11 00:18:42.040
519,84919,2021-02-11 00:18:42.050
520,84920,2021-02-11 00:18:42.060
521,84921,2021-02-11 00:18:42.070
522,84922,2021-02-11 00:18:42.080
523,84923,2021-02-11 00:18:42.090
524,84924,2021-02-11 00:18:42.100
525,84925,2021-02-11 00:18:42.110
526,84926,2021-02-11 00:18:42.120
527,84927,2021-02-11 00:18:42.130
528,84928,2021-02-11 00:18:42.140
529,84929,2021-02-11 00:18:42.150
530,84930,2021-02-11 00:18:42.160
531,84931,2021-02-11 00:18:42.170
532,84932,2021-02-11 00:18:42.180
533,84933,2021-02-11 00:18:42.190
534,84934,2021-02-11 00:18:42.200
